学科,分层,期刊全称,ISO缩写,2025 JIF,最佳JIF分区,最佳JCI分区,年发文量,易投指数0-5,出版商分组,版面费参考(须官网核实)
BIOCHEMISTRY & MOLECULAR BIOLOGY,4-Q3,CHEMISTRY AND PHYSICS OF LIPIDS,CHEM PHYS LIPIDS,3.0,Q3,Q2,35.0,0,Elsevier,"订阅路线通常无APC；Gold OA常见 USD 2,200-4,200"
BIOCHEMISTRY & MOLECULAR BIOLOGY,4-Q3,BIOTECHNIQUES,BIOTECHNIQUES,2.6,Q3,Q4,34.0,0,Taylor & Francis,"订阅路线通常无APC；Open Select常见 USD 2,500-3,500"
BIOCHEMISTRY & MOLECULAR BIOLOGY,4-Q3,PROSTAGLANDINS & OTHER LIPID MEDIATORS,PROSTAG OTH LIPID M,2.6,Q3,Q3,34.0,0,Elsevier,"订阅路线通常无APC；Gold OA常见 USD 2,200-4,200"
BIOCHEMISTRY & MOLECULAR BIOLOGY,4-Q3,PROSTAGLANDINS LEUKOTRIENES AND ESSENTIAL FATTY ACIDS,PROSTAG LEUKOTR ESS,2.4,Q3,Q3,32.0,0,Elsevier,"订阅路线通常无APC；Gold OA常见 USD 2,200-4,200"
BIOCHEMISTRY & MOLECULAR BIOLOGY,4-Q3,Metallomics,METALLOMICS,2.9,Q3,Q3,31.0,0,Oxford UP,订阅路线通常无APC；可选OA，费用因刊而异
BIOCHEMISTRY & MOLECULAR BIOLOGY,4-Q3,JOURNAL OF BIOLOGICAL INORGANIC CHEMISTRY,J BIOL INORG CHEM,2.8,Q3,Q3,28.0,0,Springer,"订阅路线通常无APC；选OA约 USD 2,790-4,290"
BIOCHEMISTRY & MOLECULAR BIOLOGY,4-Q3,CURRENT DRUG METABOLISM,CURR DRUG METAB,2.3,Q3,Q4,25.0,0,其他,请查期刊官网 Author / Open Access 页面
BIOCHEMISTRY & MOLECULAR BIOLOGY,4-Q3,MOLECULAR VISION,MOL VIS,1.8,Q3,Q4,25.0,0,其他,请查期刊官网 Author / Open Access 页面
BIOCHEMISTRY & MOLECULAR BIOLOGY,4-Q3,Advances in Biological Regulation,ADV BIOL REGUL,2.7,Q3,Q3,23.0,0,Elsevier,"订阅路线通常无APC；Gold OA常见 USD 2,200-4,200"
BIOCHEMISTRY & MOLECULAR BIOLOGY,4-Q3,GLYCOCONJUGATE JOURNAL,GLYCOCONJUGATE J,3.0,Q3,Q3,22.0,0,Springer,"订阅路线通常无APC；选OA约 USD 2,790-4,290"
BIOCHEMISTRY & MOLECULAR BIOLOGY,4-Q3,Journal of Structural Biology-X,J STRUCT BIOL-X,2.9,Q3,Q2,22.0,0,Elsevier,"订阅路线通常无APC；Gold OA常见 USD 2,200-4,200"
BIOCHEMISTRY & MOLECULAR BIOLOGY,4-Q3,YEAST,YEAST,2.2,Q3,Q3,21.0,0,Wiley,"订阅路线通常无APC；OnlineOpen常见 USD 3,200-4,700"
BIOCHEMISTRY & MOLECULAR BIOLOGY,4-Q3,JOURNAL OF MEMBRANE BIOLOGY,J MEMBRANE BIOL,2.6,Q3,Q3,20.0,0,Springer,"订阅路线通常无APC；选OA约 USD 2,790-4,290"
BIOCHEMISTRY & MOLECULAR BIOLOGY,4-Q3,BIOLOGICAL CHEMISTRY,BIOL CHEM,2.5,Q3,Q4,16.0,0,De Gruyter,因刊而异
BIOCHEMISTRY & MOLECULAR BIOLOGY,4-Q3,JOURNAL OF MOLECULAR RECOGNITION,J MOL RECOGNIT,2.7,Q3,Q2,14.0,0,Wiley,"订阅路线通常无APC；OnlineOpen常见 USD 3,200-4,700"
BIOCHEMISTRY & MOLECULAR BIOLOGY,4-Q3,CHROMOSOMA,CHROMOSOMA,2.5,Q3,Q3,7.0,0,Springer,"订阅路线通常无APC；选OA约 USD 2,790-4,290"
BIOCHEMISTRY & MOLECULAR BIOLOGY,4-Q3,Biomolecular Concepts,BIOMOL CONCEPTS,3.2,Q3,Q3,4.0,0,De Gruyter,因刊而异
BIOCHEMISTRY & MOLECULAR BIOLOGY,4-Q3,Redox Experimental Medicine,REDOX EXP MED,2.4,Q3,Q4,4.0,0,其他,请查期刊官网 Author / Open Access 页面
BIOCHEMISTRY & MOLECULAR BIOLOGY,4-Q3,Journal of Nucleic Acids,J NUCLEIC ACIDS,2.7,Q3,Q4,2.0,0,Wiley,"订阅路线通常无APC；OnlineOpen常见 USD 3,200-4,700"
BIOCHEMISTRY & MOLECULAR BIOLOGY,4-Q3,JOURNAL OF CHEMICAL NEUROANATOMY,J CHEM NEUROANAT,2.6,Q3,Q3,0.0,0,Elsevier,"订阅路线通常无APC；Gold OA常见 USD 2,200-4,200"
BIOCHEMISTRY & MOLECULAR BIOLOGY,4-Q3,CURRENT PROTEIN & PEPTIDE SCIENCE,CURR PROTEIN PEPT SC,2.4,Q3,Q4,0.0,0,其他,请查期刊官网 Author / Open Access 页面
BIOLOGY,1-Q1且IF大于10,BIOLOGICAL REVIEWS,BIOL REV,10.9,Q1,Q1,128.0,2,Wiley,"订阅路线通常无APC；OnlineOpen常见 USD 3,200-4,700"
BIOLOGY,1-Q1且IF大于10,Physics of Life Reviews,PHYS LIFE REV,11.8,Q1,Q1,10.0,0,Elsevier,"订阅路线通常无APC；Gold OA常见 USD 2,200-4,200"
BIOLOGY,2补-Q1且IF5到10,Communications Biology,COMMUN BIOL,5.8,Q1,Q1,1886.0,5,Springer Nature,"全OA约 USD 2,090-3,490；Nature系更高；Scientific Reports已拉黑"
BIOLOGY,2-Q1且IF小于5,Biology-Basel,BIOLOGY-BASEL,4.3,Q1,Q1,1532.0,5,MDPI,"约 CHF 1,600-2,900（如 JCM=CHF 2,600）"
BIOLOGY,2-Q1且IF小于5,Life-Basel,LIFE-BASEL,3.9,Q1,Q2,1441.0,5,MDPI,"约 CHF 1,600-2,900（如 JCM=CHF 2,600）"
BIOLOGY,2-Q1且IF小于5,FASEB JOURNAL,FASEB J,4.3,Q1,Q1,947.0,4,Wiley,"订阅路线通常无APC；OnlineOpen常见 USD 3,200-4,700"
BIOLOGY,2补-Q1且IF5到10,CURRENT BIOLOGY,CURR BIOL,7.7,Q1,Q1,528.0,4,其他,请查期刊官网 Author / Open Access 页面
BIOLOGY,2-Q1且IF小于5,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,P ROY SOC B-BIOL SCI,3.6,Q1,Q1,526.0,4,其他,请查期刊官网 Author / Open Access 页面
BIOLOGY,2-Q1且IF小于5,COMPUTATIONAL BIOLOGY AND CHEMISTRY,COMPUT BIOL CHEM,3.4,Q1,Q1,448.0,3,Elsevier,"订阅路线通常无APC；Gold OA常见 USD 2,200-4,200"
BIOLOGY,2补-Q1且IF5到10,PLOS BIOLOGY,PLOS BIOL,6.9,Q1,Q1,445.0,4,PLOS,专科刊费用因刊而异或走CAP；PLoS One已拉黑
BIOLOGY,2补-Q1且IF5到10,BMC BIOLOGY,BMC BIOL,5.4,Q1,Q1,369.0,4,BMC,"约 USD 1,990-2,890（旗舰刊更高）"
BIOLOGY,2-Q1且IF小于5,BIOELECTROCHEMISTRY,BIOELECTROCHEMISTRY,4.9,Q1,Q1,258.0,3,Elsevier,"订阅路线通常无APC；Gold OA常见 USD 2,200-4,200"
BIOLOGY,2补-Q1且IF5到10,PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,PHILOS T R SOC B,5.3,Q1,Q1,230.0,3,其他,请查期刊官网 Author / Open Access 页面
BIOLOGY,2补-Q1且IF5到10,Science China-Life Sciences,SCI CHINA LIFE SCI,9.6,Q1,Q1,189.0,2,其他,请查期刊官网 Author / Open Access 页面
BIOLOGY,2-Q1且IF小于5,Scientifica,SCIENTIFICA,3.6,Q1,Q2,131.0,2,Wiley,"订阅路线通常无APC；OnlineOpen常见 USD 3,200-4,700"
BIOLOGY,2补-Q1且IF5到10,Biology Direct,BIOL DIRECT,5.5,Q1,Q1,109.0,3,BMC,"约 USD 1,990-2,890（旗舰刊更高）"
BIOLOGY,2补-Q1且IF5到10,BIOSCIENCE,BIOSCIENCE,9.5,Q1,Q1,76.0,1,Oxford UP,订阅路线通常无APC；可选OA，费用因刊而异
BIOLOGY,2补-Q1且IF5到10,BIOLOGICAL RESEARCH,BIOL RES,5.4,Q1,Q1,73.0,1,其他,请查期刊官网 Author / Open Access 页面
BIOLOGY,2补-Q1且IF5到10,Current Opinion in Insect Science,CURR OPIN INSECT SCI,5.5,Q1,Q1,50.0,1,Elsevier,"订阅路线通常无APC；Gold OA常见 USD 2,200-4,200"
BIOLOGY,2-Q1且IF小于5,Life Sciences in Space Research,LIFE SCI SPACE RES,3.3,Q1,Q2,50.0,1,Elsevier,"订阅路线通常无APC；Gold OA常见 USD 2,200-4,200"
BIOLOGY,2-Q1且IF小于5,BioScience Trends,BIOSCI TRENDS,4.9,Q1,Q1,43.0,0,其他,请查期刊官网 Author / Open Access 页面
BIOLOGY,2-Q1且IF小于5,Interface Focus,INTERFACE FOCUS,4.0,Q1,Q1,41.0,0,其他,请查期刊官网 Author / Open Access 页面
BIOLOGY,2补-Q1且IF5到10,EXCLI Journal,EXCLI J,6.2,Q1,Q1,28.0,0,其他,请查期刊官网 Author / Open Access 页面
BIOLOGY,2-Q1且IF小于5,YALE JOURNAL OF BIOLOGY AND MEDICINE,YALE J BIOL MED,4.8,Q1,Q2,25.0,0,其他,请查期刊官网 Author / Open Access 页面
BIOLOGY,2-Q1且IF小于5,Synthetic Biology,SYN BIOL,4.7,Q1,Q2,18.0,0,Oxford UP,订阅路线通常无APC；可选OA，费用因刊而异
BIOLOGY,2补-Q1且IF5到10,Emerging Topics in Life Sciences,EMERG TOP LIFE SCI,6.0,Q1,Q2,8.0,0,其他,请查期刊官网 Author / Open Access 页面
BIOLOGY,2-Q1且IF小于5,BIOESSAYS,BIOESSAYS,3.3,Q1,Q2,4.0,0,Wiley,"订阅路线通常无APC；OnlineOpen常见 USD 3,200-4,700"
BIOLOGY,3-Q2,JOURNAL OF THERMAL BIOLOGY,J THERM BIOL,3.2,Q2,Q1,297.0,3,Elsevier,"订阅路线通常无APC；Gold OA常见 USD 2,200-4,200"
BIOLOGY,3-Q2,MICROSCOPY RESEARCH AND TECHNIQUE,MICROSC RES TECHNIQ,2.1,Q2,Q1,206.0,3,Wiley,"订阅路线通常无APC；OnlineOpen常见 USD 3,200-4,700"
BIOLOGY,3-Q2,Open Life Sciences,OPEN LIFE SCI,2.3,Q2,Q3,191.0,2,De Gruyter,因刊而异
BIOLOGY,3-Q2,BULLETIN OF MATHEMATICAL BIOLOGY,B MATH BIOL,2.3,Q2,Q2,173.0,2,Springer,"订阅路线通常无APC；选OA约 USD 2,790-4,290"
BIOLOGY,3-Q2,Biology Letters,BIOL LETTERS,2.7,Q2,Q2,172.0,2,其他,请查期刊官网 Author / Open Access 页面
BIOLOGY,3-Q2,BIOSYSTEMS,BIOSYSTEMS,2.1,Q2,Q2,168.0,2,Elsevier,"订阅路线通常无APC；Gold OA常见 USD 2,200-4,200"
BIOLOGY,3-Q2,JOURNAL OF THEORETICAL BIOLOGY,J THEOR BIOL,1.9,Q2,Q2,168.0,2,Elsevier,"订阅路线通常无APC；Gold OA常见 USD 2,200-4,200"
BIOLOGY,3-Q2,AMERICAN JOURNAL OF HUMAN BIOLOGY,AM J HUM BIOL,1.9,Q2,Q1,164.0,2,Wiley,"订阅路线通常无APC；OnlineOpen常见 USD 3,200-4,700"
BIOLOGY,3-Q2,CHRONOBIOLOGY INTERNATIONAL,CHRONOBIOL INT,2.5,Q2,Q2,159.0,2,Taylor & Francis,"订阅路线通常无APC；Open Select常见 USD 2,500-3,500"
BIOLOGY,3-Q2,JOURNAL OF MATHEMATICAL BIOLOGY,J MATH BIOL,2.7,Q2,Q2,158.0,2,Springer,"订阅路线通常无APC；选OA约 USD 2,790-4,290"
BIOLOGY,3-Q2,Life Science Alliance,LIFE SCI ALLIANCE,3.1,Q2,Q1,153.0,2,其他,请查期刊官网 Author / Open Access 页面
BIOLOGY,3-Q2,MATHEMATICAL BIOSCIENCES,MATH BIOSCI,2.6,Q2,Q2,133.0,2,Elsevier,"订阅路线通常无APC；Gold OA常见 USD 2,200-4,200"
BIOLOGY,3-Q2,CRYOBIOLOGY,CRYOBIOLOGY,2.6,Q2,Q1,130.0,2,Elsevier,"订阅路线通常无APC；Gold OA常见 USD 2,200-4,200"
BIOLOGY,3-Q2,INTERNATIONAL JOURNAL OF RADIATION BIOLOGY,INT J RADIAT BIOL,2.0,Q2,Q2,114.0,2,Taylor & Francis,"订阅路线通常无APC；Open Select常见 USD 2,500-3,500"
BIOLOGY,3-Q2,BRAZILIAN JOURNAL OF MEDICAL AND BIOLOGICAL RESEARCH,BRAZ J MED BIOL RES,1.9,Q2,Q3,104.0,2,其他,请查期刊官网 Author / Open Access 页面
BIOLOGY,3-Q2,BIOMETRIKA,BIOMETRIKA,2.8,Q2,Q1,79.0,1,Oxford UP,订阅路线通常无APC；可选OA，费用因刊而异
BIOLOGY,3-Q2,RADIATION RESEARCH,RADIAT RES,2.4,Q2,Q2,78.0,1,其他,请查期刊官网 Author / Open Access 页面
BIOLOGY,3-Q2,JOURNAL OF RADIATION RESEARCH,J RADIAT RES,2.1,Q2,Q2,67.0,1,Oxford UP,订阅路线通常无APC；可选OA，费用因刊而异
BIOLOGY,3-Q2,ASTROBIOLOGY,ASTROBIOLOGY,2.3,Q2,Q2,66.0,1,SAGE,"订阅路线通常无APC；SAGE Choice常见 USD 2,000-4,000"
BIOLOGY,3-Q2,RADIATION AND ENVIRONMENTAL BIOPHYSICS,RADIAT ENVIRON BIOPH,2.4,Q2,Q2,61.0,1,Springer,"订阅路线通常无APC；选OA约 USD 2,790-4,290"
BIOLOGY,3-Q2,Integrative Organismal Biology,INTEGR ORGANISM BIOL,2.0,Q2,Q2,47.0,0,Oxford UP,订阅路线通常无APC；可选OA，费用因刊而异
BIOLOGY,3-Q2,JOURNAL OF BIOLOGICAL RHYTHMS,J BIOL RHYTHM,3.0,Q2,Q1,45.0,0,SAGE,"订阅路线通常无APC；SAGE Choice常见 USD 2,000-4,000"
BIOLOGY,3-Q2,AEROBIOLOGIA,AEROBIOLOGIA,2.1,Q2,Q3,36.0,0,Springer,"订阅路线通常无APC；选OA约 USD 2,790-4,290"
BIOLOGY,3-Q2,Biologia Futura,BIOL FUTURA,2.1,Q2,Q3,36.0,0,Springer,"订阅路线通常无APC；选OA约 USD 2,790-4,290"
BIOLOGY,3-Q2,Geobiology,GEOBIOLOGY,2.7,Q2,Q2,32.0,0,Wiley,"订阅路线通常无APC；OnlineOpen常见 USD 3,200-4,700"
BIOLOGY,3-Q2,THEORY IN BIOSCIENCES,THEOR BIOSCI,2.0,Q2,Q3,19.0,0,Springer,"订阅路线通常无APC；选OA约 USD 2,790-4,290"
BIOLOGY,3-Q2,QUARTERLY REVIEW OF BIOLOGY,Q REV BIOL,3.0,Q2,Q2,0.0,0,其他,请查期刊官网 Author / Open Access 页面
BIOLOGY,4-Q3,Bio-protocol,BIO-PROTOCOL,1.3,Q3,Q3,398.0,3,其他,请查期刊官网 Author / Open Access 页面
BIOLOGY,4-Q3,BIOLOGIA,BIOLOGIA,1.7,Q3,Q3,200.0,3,Springer,"订阅路线通常无APC；选OA约 USD 2,790-4,290"
BIOLOGY,4-Q3,BIOMETRICS,BIOMETRICS,1.6,Q3,Q2,154.0,2,Oxford UP,订阅路线通常无APC；可选OA，费用因刊而异
BIOLOGY,4-Q3,Biology Open,BIOL OPEN,1.8,Q3,Q2,151.0,2,其他,请查期刊官网 Author / Open Access 页面
BIOLOGY,4-Q3,BRAZILIAN ARCHIVES OF BIOLOGY AND TECHNOLOGY,BRAZ ARCH BIOL TECHN,1.0,Q3,Q3,121.0,2,其他,请查期刊官网 Author / Open Access 页面
BIOLOGY,4-Q3,Journal of Basic and Applied Zoology,J BASIC APPL ZOOL,1.7,Q3,Q3,109.0,2,Springer,"订阅路线通常无APC；选OA约 USD 2,790-4,290"
BIOLOGY,4-Q3,BIOCELL,BIOCELL,1.8,Q3,Q3,78.0,1,其他,请查期刊官网 Author / Open Access 页面
BIOLOGY,4-Q3,BIOLOGICAL RHYTHM RESEARCH,BIOL RHYTHM RES,1.0,Q3,Q3,72.0,1,Taylor & Francis,"订阅路线通常无APC；Open Select常见 USD 2,500-3,500"
BIOLOGY,4-Q3,JOURNAL OF BIOSCIENCES,J BIOSCIENCES,1.7,Q3,Q3,57.0,1,其他,请查期刊官网 Author / Open Access 页面
BIOLOGY,4-Q3,TURKISH JOURNAL OF BIOLOGY,TURK J BIOL,1.7,Q3,Q3,51.0,1,其他,请查期刊官网 Author / Open Access 页面
BIOLOGY,4-Q3,JOURNAL OF BIOLOGICAL SYSTEMS,J BIOL SYST,1.3,Q3,Q3,43.0,0,其他,请查期刊官网 Author / Open Access 页面
BIOLOGY,4-Q3,Tropical Life Sciences Research,TROP LIFE SCI RES,1.2,Q3,Q3,43.0,0,其他,请查期刊官网 Author / Open Access 页面
BIOLOGY,4-Q3,BIOELECTROMAGNETICS,BIOELECTROMAGNETICS,1.6,Q3,Q3,42.0,0,Wiley,"订阅路线通常无APC；OnlineOpen常见 USD 3,200-4,700"
BIOLOGY,4-Q3,JOURNAL OF AGRICULTURAL BIOLOGICAL AND ENVIRONMENTAL STATISTICS,J AGR BIOL ENVIR ST,1.1,Q3,Q3,42.0,0,Springer,"订阅路线通常无APC；选OA约 USD 2,790-4,290"
BIOLOGY,4-Q3,JOURNAL OF BIOLOGICAL EDUCATION,J BIOL EDUC,1.2,Q3,Q2,41.0,0,Taylor & Francis,"订阅路线通常无APC；Open Select常见 USD 2,500-3,500"
BIOLOGY,4-Q3,ELECTROMAGNETIC BIOLOGY AND MEDICINE,ELECTROMAGN BIOL MED,1.5,Q3,Q2,40.0,0,Taylor & Francis,"订阅路线通常无APC；Open Select常见 USD 2,500-3,500"
BIOLOGY,4-Q3,ANNALS OF HUMAN BIOLOGY,ANN HUM BIOL,1.8,Q3,Q2,39.0,0,Taylor & Francis,"订阅路线通常无APC；Open Select常见 USD 2,500-3,500"
BIOLOGY,4-Q3,CRYOLETTERS,CRYOLETTERS,1.0,Q3,Q3,39.0,0,其他,请查期刊官网 Author / Open Access 页面
BIOLOGY,4-Q3,Discover Life,DISCOV LIFE-NETH,1.7,Q3,Q3,28.0,0,Springer,"订阅路线通常无APC；选OA约 USD 2,790-4,290"
BIOLOGY,4-Q3,JOURNAL OF ETHNOBIOLOGY,J ETHNOBIOL,1.5,Q3,Q2,25.0,0,SAGE,"订阅路线通常无APC；SAGE Choice常见 USD 2,000-4,000"
BIOLOGY,4-Q3,FOLIA BIOLOGICA,FOLIA BIOL-PRAGUE,1.8,Q3,Q3,23.0,0,其他,请查期刊官网 Author / Open Access 页面
BIOLOGY,4-Q3,International Journal of Astrobiology,INT J ASTROBIOL,1.0,Q3,Q4,21.0,0,Cambridge UP,订阅路线通常无APC；Gold OA因刊而异
BIOLOGY,4-Q3,BIOLOGICAL BULLETIN,BIOL BULL-US,1.1,Q3,Q3,3.0,0,其他,请查期刊官网 Author / Open Access 页面
BIOLOGY,4-Q3,ORIGINS OF LIFE AND EVOLUTION OF BIOSPHERES,ORIGINS LIFE EVOL B,1.4,Q3,Q3,0.0,0,Springer,"订阅路线通常无APC；选OA约 USD 2,790-4,290"
BIOLOGY,4-Q3,University of Toronto Journal of Undergraduate Life Sciences,UNIV TOR J UNDERGRAD,1.0,Q3,Q4,0.0,0,其他,请查期刊官网 Author / Open Access 页面
BIOTECHNOLOGY & APPLIED MICROBIOLOGY,1-Q1且IF大于10,BIOSENSORS & BIOELECTRONICS,BIOSENS BIOELECTRON,11.8,Q1,Q1,1011.0,4,Elsevier,"订阅路线通常无APC；Gold OA常见 USD 2,200-4,200"
BIOTECHNOLOGY & APPLIED MICROBIOLOGY,1-Q1且IF大于10,JOURNAL OF NANOBIOTECHNOLOGY,J NANOBIOTECHNOL,15.0,Q1,Q1,705.0,5,BMC,"约 USD 1,990-2,890（旗舰刊更高）"
BIOTECHNOLOGY & APPLIED MICROBIOLOGY,1-Q1且IF大于10,PLANT BIOTECHNOLOGY JOURNAL,PLANT BIOTECHNOL J,12.8,Q1,Q1,438.0,3,Wiley,"订阅路线通常无APC；OnlineOpen常见 USD 3,200-4,700"
BIOTECHNOLOGY & APPLIED MICROBIOLOGY,1-Q1且IF大于10,MOLECULAR THERAPY,MOL THER,11.4,Q1,Q1,293.0,3,其他,请查期刊官网 Author / Open Access 页面
BIOTECHNOLOGY & APPLIED MICROBIOLOGY,1-Q1且IF大于10,npj Biofilms and Microbiomes,NPJ BIOFILMS MICROBI,11.4,Q1,Q1,225.0,3,Springer Nature,"全OA约 USD 2,090-3,490；Nature系更高；Scientific Reports已拉黑"
BIOTECHNOLOGY & APPLIED MICROBIOLOGY,1-Q1且IF大于10,NATURE BIOTECHNOLOGY,NAT BIOTECHNOL,44.5,Q1,Q1,136.0,2,Springer Nature,"全OA约 USD 2,090-3,490；Nature系更高；Scientific Reports已拉黑"
BIOTECHNOLOGY & APPLIED MICROBIOLOGY,1-Q1且IF大于10,TRENDS IN BIOTECHNOLOGY,TRENDS BIOTECHNOL,16.6,Q1,Q1,102.0,2,其他,请查期刊官网 Author / Open Access 页面
BIOTECHNOLOGY & APPLIED MICROBIOLOGY,1-Q1且IF大于10,NATURE REVIEWS DRUG DISCOVERY,NAT REV DRUG DISCOV,91.2,Q1,Q1,0.0,0,Springer Nature,"全OA约 USD 2,090-3,490；Nature系更高；Scientific Reports已拉黑"
BIOTECHNOLOGY & APPLIED MICROBIOLOGY,1-Q1且IF大于10,REVIEWS IN ENVIRONMENTAL SCIENCE AND BIO-TECHNOLOGY,REV ENVIRON SCI BIO,15.1,Q1,Q1,0.0,0,Springer,"订阅路线通常无APC；选OA约 USD 2,790-4,290"
BIOTECHNOLOGY & APPLIED MICROBIOLOGY,1-Q1且IF大于10,BIOTECHNOLOGY ADVANCES,BIOTECHNOL ADV,14.1,Q1,Q1,0.0,0,Elsevier,"订阅路线通常无APC；Gold OA常见 USD 2,200-4,200"
BIOTECHNOLOGY & APPLIED MICROBIOLOGY,1-Q1且IF大于10,Annual Review of Animal Biosciences,ANNU REV ANIM BIOSCI,12.3,Q1,Q1,0.0,0,其他,请查期刊官网 Author / Open Access 页面
BIOTECHNOLOGY & APPLIED MICROBIOLOGY,2补-Q1且IF5到10,BIORESOURCE TECHNOLOGY,BIORESOURCE TECHNOL,8.2,Q1,Q1,1480.0,4,Elsevier,"订阅路线通常无APC；Gold OA常见 USD 2,200-4,200"
BIOTECHNOLOGY & APPLIED MICROBIOLOGY,2补-Q1且IF5到10,BIOMASS & BIOENERGY,BIOMASS BIOENERG,7.0,Q1,Q1,1131.0,4,Elsevier,"订阅路线通常无APC；Gold OA常见 USD 2,200-4,200"
BIOTECHNOLOGY & APPLIED MICROBIOLOGY,2补-Q1且IF5到10,Frontiers in Bioengineering and Biotechnology,FRONT BIOENG BIOTECH,5.8,Q1,Q2,842.0,5,Frontiers,"约 CHF 1,495-3,150（Frontiers in Medicine A类=CHF 3,150）"
BIOTECHNOLOGY & APPLIED MICROBIOLOGY,2补-Q1且IF5到10,Environmental Technology & Innovation,ENVIRON TECHNOL INNO,7.3,Q1,Q1,674.0,4,Elsevier,"订阅路线通常无APC；Gold OA常见 USD 2,200-4,200"
BIOTECHNOLOGY & APPLIED MICROBIOLOGY,2补-Q1且IF5到10,BIOINFORMATICS,BIOINFORMATICS,5.5,Q1,Q1,644.0,4,Oxford UP,订阅路线通常无APC；可选OA，费用因刊而异
BIOTECHNOLOGY & APPLIED MICROBIOLOGY,2补-Q1且IF5到10,Algal Research-Biomass Biofuels and Bioproducts,ALGAL RES,5.0,Q1,Q1,573.0,4,Elsevier,"订阅路线通常无APC；Gold OA常见 USD 2,200-4,200"
BIOTECHNOLOGY & APPLIED MICROBIOLOGY,2补-Q1且IF5到10,Bioresource Technology Reports,BIORESOUR TECH REP,5.0,Q1,Q2,435.0,3,Elsevier,"订阅路线通常无APC；Gold OA常见 USD 2,200-4,200"
BIOTECHNOLOGY & APPLIED MICROBIOLOGY,2补-Q1且IF5到10,GENOME BIOLOGY,GENOME BIOL,9.2,Q1,Q1,414.0,4,BMC,"约 USD 1,990-2,890（旗舰刊更高）"
BIOTECHNOLOGY & APPLIED MICROBIOLOGY,2-Q1且IF小于5,BMC BIOINFORMATICS,BMC BIOINFORMATICS,4.4,Q1,Q1,332.0,4,BMC,"约 USD 1,990-2,890（旗舰刊更高）"
BIOTECHNOLOGY & APPLIED MICROBIOLOGY,2补-Q1且IF5到10,Probiotics and Antimicrobial Proteins,PROBIOTICS ANTIMICRO,5.3,Q1,Q1,327.0,3,Springer,"订阅路线通常无APC；选OA约 USD 2,790-4,290"
BIOTECHNOLOGY & APPLIED MICROBIOLOGY,2补-Q1且IF5到10,Microbial Cell Factories,MICROB CELL FACT,5.8,Q1,Q1,252.0,4,BMC,"约 USD 1,990-2,890（旗舰刊更高）"
BIOTECHNOLOGY & APPLIED MICROBIOLOGY,2补-Q1且IF5到10,FOOD MICROBIOLOGY,FOOD MICROBIOL,5.4,Q1,Q1,207.0,3,Elsevier,"订阅路线通常无APC；Gold OA常见 USD 2,200-4,200"
BIOTECHNOLOGY & APPLIED MICROBIOLOGY,2补-Q1且IF5到10,GENOME RESEARCH,GENOME RES,6.3,Q1,Q1,203.0,3,其他,请查期刊官网 Author / Open Access 页面
BIOTECHNOLOGY & APPLIED MICROBIOLOGY,2补-Q1且IF5到10,Microbial Biotechnology,MICROB BIOTECHNOL,6.7,Q1,Q1,171.0,2,Wiley,"订阅路线通常无APC；OnlineOpen常见 USD 3,200-4,700"
BIOTECHNOLOGY & APPLIED MICROBIOLOGY,2补-Q1且IF5到10,METABOLIC ENGINEERING,METAB ENG,7.3,Q1,Q1,142.0,2,Elsevier,"订阅路线通常无APC；Gold OA常见 USD 2,200-4,200"
BIOTECHNOLOGY & APPLIED MICROBIOLOGY,2-Q1且IF小于5,CYTOTHERAPY,CYTOTHERAPY,4.5,Q1,Q1,133.0,2,Elsevier,"订阅路线通常无APC；Gold OA常见 USD 2,200-4,200"
BIOTECHNOLOGY & APPLIED MICROBIOLOGY,2补-Q1且IF5到10,Sensors and Actuators Reports,SENSOR ACTUATOR REP,6.9,Q1,Q1,128.0,2,Elsevier,"订阅路线通常无APC；Gold OA常见 USD 2,200-4,200"
BIOTECHNOLOGY & APPLIED MICROBIOLOGY,2补-Q1且IF5到10,Bioresources and Bioprocessing,BIORESOUR BIOPROCESS,6.3,Q1,Q1,127.0,2,Springer,"订阅路线通常无APC；选OA约 USD 2,790-4,290"
BIOTECHNOLOGY & APPLIED MICROBIOLOGY,2补-Q1且IF5到10,Journal of Biological Engineering,J BIOL ENG,6.3,Q1,Q1,113.0,3,BMC,"约 USD 1,990-2,890（旗舰刊更高）"
BIOTECHNOLOGY & APPLIED MICROBIOLOGY,2补-Q1且IF5到10,Biotechnology for Biofuels and Bioproducts,BIOTECHNOL BIOF BIOP,6.0,Q1,Q2,107.0,3,BMC,"约 USD 1,990-2,890（旗舰刊更高）"
BIOTECHNOLOGY & APPLIED MICROBIOLOGY,2补-Q1且IF5到10,CANCER GENE THERAPY,CANCER GENE THER,6.4,Q1,Q1,96.0,1,Springer Nature,"全OA约 USD 2,090-3,490；Nature系更高；Scientific Reports已拉黑"
BIOTECHNOLOGY & APPLIED MICROBIOLOGY,2补-Q1且IF5到10,New Biotechnology,NEW BIOTECHNOL,5.6,Q1,Q1,96.0,1,Elsevier,"订阅路线通常无APC；Gold OA常见 USD 2,200-4,200"
