期刊全称,ISO缩写,ISSN,eISSN,标记原因,优先,备注,updated
DEVELOPMENTAL MEDICINE AND CHILD NEUROLOGY,DEV MED CHILD NEUROL,0012-1622,1469-8749,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
DIABETIC MEDICINE,DIABETIC MED,0742-3071,1464-5491,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Disaster Medicine and Public Health Preparedness,DISASTER MED PUBLIC,1935-7893,1938-744X,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Discovery Medicine,DISCOV MED,1539-6509,1944-7930,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
EBioMedicine,EBIOMEDICINE,2352-3964,2352-3964,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
EClinicalMedicine,ECLINICALMEDICINE,,2589-5370,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Egyptian Journal of Internal Medicine,EGYPT J INTERN MED,1110-7782,2090-9098,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
ELECTROMAGNETIC BIOLOGY AND MEDICINE,ELECTROMAGN BIOL MED,1536-8378,1536-8386,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Electronic Journal of General Medicine,ELECTRON J GEN MED,2516-3507,2516-3507,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
EMBO Molecular Medicine,EMBO MOL MED,1757-4676,1757-4684,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Emergency and Critical Care Medicine,EMERG CRIT CARE MED,2097-0617,2693-860X,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Emergency Medicine Australasia,EMERG MED AUSTRALAS,,1742-6723,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
EMERGENCY MEDICINE CLINICS OF NORTH AMERICA,EMERG MED CLIN N AM,0733-8627,1558-0539,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Emergency Medicine International,EMERG MED INT,2090-2840,2090-2859,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
EMERGENCY MEDICINE JOURNAL,EMERG MED J,1472-0205,1472-0213,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Environmental Health and Preventive Medicine,ENVIRON HEALTH PREV,1342-078X,1347-4715,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Eurasian Journal of Medicine,EURASIAN J MED,,1308-8742,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Eurasian Journal of Medicine and Oncology,EURASIAN J MED ONCOL,,2587-196X,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
European Geriatric Medicine,EUR GERIATR MED,1878-7649,1878-7657,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
European Journal of Emergency Medicine,EUR J EMERG MED,0969-9546,1473-5695,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
European Journal of Integrative Medicine,EUR J INTEGR MED,1876-3820,1876-3839,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
European Journal of Internal Medicine,EUR J INTERN MED,0953-6205,1879-0828,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
EUROPEAN JOURNAL OF NUCLEAR MEDICINE AND MOLECULAR IMAGING,EUR J NUCL MED MOL I,1619-7070,1619-7089,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
European Journal of Physical and Rehabilitation Medicine,EUR J PHYS REHAB MED,1973-9087,1973-9095,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Evolution Medicine and Public Health,EVOL MED PUBLIC HLTH,,2050-6201,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
EXPERIMENTAL AND MOLECULAR MEDICINE,EXP MOL MED,1226-3613,2092-6413,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Experimental and Therapeutic Medicine,EXP THER MED,1792-0981,1792-1015,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
EXPERIMENTAL BIOLOGY AND MEDICINE,EXP BIOL MED,1535-3702,1535-3699,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Expert Review of Respiratory Medicine,EXPERT REV RESP MED,1747-6348,1747-6356,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
EXPERT REVIEWS IN MOLECULAR MEDICINE,EXPERT REV MOL MED,1462-3994,1462-3994,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Facial Plastic Surgery & Aesthetic Medicine,FACIAL PLAST SURG AE,2689-3614,2689-3622,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
FAMILY MEDICINE,FAM MED,0742-3225,1938-3800,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Family Medicine and Community Health,FAM MED COMMUNITY HE,2305-6983,2009-8774,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Forensic Science Medicine and Pathology,FORENSIC SCI MED PAT,1547-769X,1556-2891,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
FREE RADICAL BIOLOGY AND MEDICINE,FREE RADICAL BIO MED,0891-5849,1873-4596,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Frontiers in Cardiovascular Medicine,FRONT CARDIOVASC MED,2297-055X,2297-055X,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Frontiers in Dental Medicine,FRONT DENT MED,,2673-4915,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Frontiers in Emergency Medicine,FRONT EMERG MED,,2717-3593,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Frontiers in Medicine,FRONT MED-LAUSANNE,,2296-858X,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Frontiers in Nuclear Medicine,FRONT NUCL MED,,2673-8880,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
GENETICS IN MEDICINE,GENET MED,1098-3600,1530-0366,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Genome Medicine,GENOME MED,1756-994X,1756-994X,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Gerontology and Geriatric Medicine,GERONTOL GERIATR MED,,2333-7214,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Global Advances in Integrative Medicine and Health,GLOB ADV INTEGR MED,,2753-6130,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Global Health & Medicine,GLOB HLTH MED-JPN,2434-9186,2434-9194,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Head & Face Medicine,HEAD FACE MED,,1746-160X,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Health Psychology and Behavioral Medicine,HEALTH PSYCHOL BEHAV,2164-2850,2164-2850,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Hepatic Medicine-Evidence and Research,HEPATIC MED-EVID RES,1179-1535,1179-1535,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
HIGH ALTITUDE MEDICINE & BIOLOGY,HIGH ALT MED BIOL,1527-0297,1557-8682,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
HIV MEDICINE,HIV MED,1464-2662,1468-1293,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Ibnosina Journal of Medicine and Biomedical Sciences,IBNOSINA J MED BIOME,1947-489X,1947-489X,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
IEEE Journal of Translational Engineering in Health and Medicine,IEEE J TRANSL ENG HE,2168-2372,2168-2372,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
IEEE Open Journal of Engineering in Medicine and Biology,IEEE OPEN J ENG MED,,2644-1276,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Immunological Medicine,IMMUNOL MED,,2578-5826,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Indian Journal of Community Medicine,INDIAN J COMMUN MED,0970-0218,1998-3581,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Indian Journal of Critical Care Medicine,INDIAN J CRIT CARE M,0972-5229,1998-359X,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Indian Journal of Psychological Medicine,INDIAN J PSYCHOL MED,0253-7176,0975-1564,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Infectious Medicine,INFECT MED-UK,2097-0684,2772-431X,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Integrative Medicine in Nephrology and Andrology,INTEGR MED NEPHROL A,2773-0395,2773-0387,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Integrative Medicine Research,INTEGR MED RES,2213-4220,2213-4239,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Intelligent Medicine,INTEL MED,2667-1026,2667-1026,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
INTENSIVE CARE MEDICINE,INTENS CARE MED,0342-4642,1432-1238,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Intensive Care Medicine Experimental,INTENS CARE MED EXP,2197-425X,2197-425X,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Interdisciplinary Medicine,INTERD MED,2832-6237,2832-6245,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Internal and Emergency Medicine,INTERN EMERG MED,1828-0447,1970-9366,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Internal Medicine,INTERNAL MED,0918-2918,1349-7235,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
INTERNAL MEDICINE JOURNAL,INTERN MED J,1444-0903,1445-5994,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
International Journal of Academic Medicine,INT J ACAD MED,,2455-5568,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
INTERNATIONAL JOURNAL OF BEHAVIORAL MEDICINE,INT J BEHAV MED,1070-5503,1532-7558,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
International Journal of Emergency Medicine,INT J EMERG MED,1865-1372,1865-1380,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
International Journal of General Medicine,INT J GEN MED,,1178-7074,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
INTERNATIONAL JOURNAL OF LEGAL MEDICINE,INT J LEGAL MED,0937-9827,1437-1596,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
International Journal of Molecular and Cellular Medicine,INT J MOL CELL MED,2251-9637,2251-9645,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
INTERNATIONAL JOURNAL OF MOLECULAR MEDICINE,INT J MOL MED,1107-3756,1791-244X,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
International Journal of Nanomedicine,INT J NANOMED,1176-9114,1178-2013,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
International Journal of Occupational Medicine and Environmental Health,INT J OCCUP MED ENV,1232-1087,1896-494X,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
International Journal of Osteopathic Medicine,INT J OSTEOPATH MED,1746-0689,1878-0164,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
International Journal of Preventive Medicine,INT J PREVENTIVE MED,2008-7802,2008-8213,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
INTERNATIONAL JOURNAL OF PSYCHIATRY IN MEDICINE,INT J PSYCHIAT MED,0091-2174,1541-3527,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
International Journal of Reproductive Biomedicine,INT J REPROD BIOMED,2476-4108,2476-3772,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
INTERNATIONAL JOURNAL OF SPORTS MEDICINE,INT J SPORTS MED,0172-4622,1439-3964,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
International Journal of Telemedicine and Applications,INT J TELEMED APPL,1687-6415,1687-6423,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
IRISH JOURNAL OF PSYCHOLOGICAL MEDICINE,IRISH J PSYCHOL MED,0790-9667,2051-6967,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
JAMA Internal Medicine,JAMA INTERN MED,2168-6106,2168-6114,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
JMIR Perioperative Medicine,JMIR PERIOPER MED,2561-9128,2561-9128,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Journal of Academic Research in Medicine-JAREM,J ACAD RES MED,2146-6505,2147-1894,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Journal of Acute Medicine,J ACUTE MED,2211-5587,2211-5595,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Journal of Addiction Medicine,J ADDICT MED,1932-0620,1935-3227,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Journal of Aerosol Medicine and Pulmonary Drug Delivery,J AEROSOL MED PULM D,1941-2711,1941-2703,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Journal of Agromedicine,J AGROMEDICINE,1059-924X,1545-0813,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Journal of Applied Biomedicine,J APPL BIOMED,1214-021X,1214-0287,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Journal of Applied Laboratory Medicine,J APPL LAB MED,2576-9456,2475-7241,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Journal of Ayurveda and Integrative Medicine,J AYURVEDA INTEGR ME,0975-9476,0976-2809,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
JOURNAL OF BEHAVIORAL MEDICINE,J BEHAV MED,0160-7715,1573-3521,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Journal of Blood Medicine,J BLOOD MED,1179-2736,1179-2736,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Journal of Cardiovascular Medicine,J CARDIOVASC MED,1558-2027,1558-2035,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
JOURNAL OF CELLULAR AND MOLECULAR MEDICINE,J CELL MOL MED,1582-1838,1582-4934,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Journal of Chiropractic Medicine,J CHIROPR MED,0899-3467,1556-3715,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Journal of Clinical Medicine,J CLIN MED,,2077-0383,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Journal of Clinical Medicine Research-Canada,J CLIN MED RES-CAN,1918-3003,1918-3011,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Journal of Clinical Sleep Medicine,J CLIN SLEEP MED,1550-9389,1550-9397,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Journal of Community Hospital Internal Medicine Perspectives,J COMM HOSP INT MED,2000-9666,2000-9666,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
JOURNAL OF CUTANEOUS MEDICINE AND SURGERY,J CUTAN MED SURG,1203-4754,1615-7109,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Journal of Dance Medicine & Science,J DANCE MED SCI,1089-313X,2374-8060,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Journal of Dental Anesthesia and Pain Medicine,J DENT ANESTH PAIN M,2383-9309,2383-9317,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
JOURNAL OF EMERGENCY MEDICINE,J EMERG MED,0736-4679,1090-1280,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Journal of Ethnobiology and Ethnomedicine,J ETHNOBIOL ETHNOMED,,1746-4269,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Journal of Evidence Based Medicine,J EVID-BASED MED,1756-5383,1756-5391,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Journal of Evidence-Based Integrative Medicine,J EVID-BASED INTEGR,2515-690X,2515-690X,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
JOURNAL OF EXPERIMENTAL MEDICINE,J EXP MED,0022-1007,1540-9538,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Journal of Family and Community Medicine,J FAM COMMUNITY MED,2230-8229,2229-340X,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Journal of Forensic and Legal Medicine,J FORENSIC LEG MED,1752-928X,1532-2009,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
JOURNAL OF GENE MEDICINE,J GENE MED,1099-498X,1521-2254,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Journal of General and Family Medicine,J GEN FAM MED,2189-7948,2189-7948,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
JOURNAL OF GENERAL INTERNAL MEDICINE,J GEN INTERN MED,0884-8734,1525-1497,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Journal of Herbal Medicine,J HERB MED,2210-8033,2210-8041,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Journal of Hospital Medicine,J HOSP MED,1553-5592,1553-5606,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Journal of Imaging Informatics in Medicine,J IMAGING INFORM MED,2948-2925,2948-2933,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Journal of Integrative and Complementary Medicine,J INTEGR COMPLEMENT,2768-3605,2768-3613,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Journal of Integrative Medicine-JIM,J INTEGR MED-JIM,2095-4964,2095-4964,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
JOURNAL OF INTENSIVE CARE MEDICINE,J INTENSIVE CARE MED,0885-0666,1525-1489,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Journal of Intensive Medicine,J INTENSIV MED,2097-0250,2667-100X,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
JOURNAL OF INTERNAL MEDICINE,J INTERN MED,0954-6820,1365-2796,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
JOURNAL OF INVESTIGATIVE MEDICINE,J INVEST MED,1081-5589,1708-8267,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Journal of Investigative Medicine High Impact Case Reports,J INVEST MED HIGH IM,2324-7096,2324-7096,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Journal of ISAKOS Joint Disorders & Orthopaedic Sports Medicine,J ISAKOS,2059-7754,2059-7762,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Journal of Laboratory and Precision Medicine,J LAB PRECIS MED,2519-9005,2519-9005,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Journal of Laboratory Medicine,J LAB MED,2567-9430,2567-9449,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
JOURNAL OF LAW MEDICINE & ETHICS,J LAW MED ETHICS,1073-1105,1748-720X,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
JOURNAL OF MATERIALS SCIENCE-MATERIALS IN MEDICINE,J MATER SCI-MATER M,0957-4530,1573-4838,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Journal of Maternal-Fetal & Neonatal Medicine,J MATERN-FETAL NEO M,1476-7058,1476-4954,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Journal of Medicine Access,J MED ACCESS,2755-0834,2755-0834,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
JOURNAL OF MEDICINE AND PHILOSOPHY,J MED PHILOS,0360-5310,1744-5019,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
JOURNAL OF MOLECULAR MEDICINE-JMM,J MOL MED,0946-2716,1432-1440,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Journal of Natural Medicines,J NAT MED-TOKYO,1340-3443,1861-0293,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Journal of Neonatal-Perinatal Medicine,J NEONAT-PERINAT MED,1934-5798,1878-4429,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
JOURNAL OF NUCLEAR MEDICINE,J NUCL MED,0161-5505,1535-5667,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Journal of Nuclear Medicine Technology,J NUCL MED TECHNOL,0091-4916,1535-5675,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Journal of Occupational Medicine and Toxicology,J OCCUP MED TOXICOL,1745-6673,1745-6673,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
JOURNAL OF ORAL PATHOLOGY & MEDICINE,J ORAL PATHOL MED,0904-2512,1600-0714,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Journal of Osteopathic Medicine,J OSTEOPATH MED,,2702-3648,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
JOURNAL OF PALLIATIVE MEDICINE,J PALLIAT MED,1096-6218,1557-7740,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Journal of Pathology and Translational Medicine,J PATHOL TRANSL MED,2383-7837,2383-7845,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Journal of Pediatric Rehabilitation Medicine,J PEDIATR REHAB MED,1874-5393,1875-8894,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
JOURNAL OF PERINATAL MEDICINE,J PERINAT MED,0300-5577,1619-3997,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Journal of Postgraduate Medicine,J POSTGRAD MED,0022-3859,0972-2823,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Journal of Preventive Medicine & Public Health,J PREV MED PUBLIC HL,1975-8375,2233-4521,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
JOURNAL OF REHABILITATION MEDICINE,J REHABIL MED,1650-1977,1651-2081,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
JOURNAL OF SCIENCE AND MEDICINE IN SPORT,J SCI MED SPORT,1440-2440,1878-1861,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Journal of Sexual Medicine,J SEX MED,1743-6095,1743-6109,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
JOURNAL OF SPORTS MEDICINE AND PHYSICAL FITNESS,J SPORT MED PHYS FIT,0022-4707,1827-1928,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Journal of Sports Science and Medicine,J SPORT SCI MED,1303-2968,1303-2968,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
JOURNAL OF TELEMEDICINE AND TELECARE,J TELEMED TELECARE,1357-633X,1758-1109,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Journal of the American Board of Family Medicine,J AM BOARD FAM MED,1557-2625,1558-7118,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
JOURNAL OF THE ROYAL SOCIETY OF MEDICINE,J ROY SOC MED,0141-0768,1758-1095,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Journal of Tissue Engineering and Regenerative Medicine,J TISSUE ENG REGEN M,1932-6254,1932-7005,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
JOURNAL OF TRACE ELEMENTS IN MEDICINE AND BIOLOGY,J TRACE ELEM MED BIO,0946-672X,1878-3252,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Journal of Traditional and Complementary Medicine,J TRADIT COMPL MED,2225-4110,2225-4110,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Journal of Traditional Chinese Medicine,J TRADIT CHIN MED,0255-2922,1577-7014,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Journal of Translational Internal Medicine,J TRANSL INTERN MED,2450-131X,2224-4018,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
Journal of Translational Medicine,J TRANSL MED,,1479-5876,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
JOURNAL OF TRAVEL MEDICINE,J TRAVEL MED,1195-1982,1708-8305,Medicine-in-name,1,白名单优先推荐；LWW MEDICINE 黑名单除外,2026-09-10
